Time	Headset_on	CE_Pos	CE_Rot	LE_Pos	LE_Rot	RE_Pos	RE_Rot	LH_Pos	LH_Rot	RH_Pos	RH_Rot	Menu_Exists	Menu_Bounds	Menu_SM_Bounds	Menu_Page_Viewed	Menu_Panel_Viewed	Model_Name	Model_Centre	Model_Size	Preview_Name	Preview_Corners	
2.390173	0	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 0.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 0.00000)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
2.392972	0	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 0.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 0.00000)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
2.449697	0	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 0.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 0.00000)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.526328	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.528059	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.528239	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.528392	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.52857	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.528699	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.528827	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.52895	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.529081	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
